Nombre Central,Potencia Máxima Bruta
PE CANELA II,1.5
PE MONTE REDONDO,2
PE TOTORAL,2
PE LEBU,0.6
PE PUNTA COLORADA,2
PE LEBU,0.78
PE CANELA,1.65
PE TALINAY ORIENTE,2
PE TALINAY ORIENTE,2
PE CUEL,1.5
PE LEBU,1.55
PE SAN PEDRO,2
PE LOS CURUROS,1.9228
PE EL ARRAYAN,2.3
PE UCUQUER II,2.15
PE PUNTA PALMERAS,3
PE TALTAL,3
PE LEBU,1.75
PE TALINAY PONIENTE,2
PE TALINAY PONIENTE,1.8
PE RENAICO I,2
PE LOS BUENOS AIRES,2
PE LA ESPERANZA,2.1
PE SAN JUAN,193.2
PE SAN PEDRO II,5
PE SIERRA GORDA ESTE,112
PE VALLE DE LOS VIENTOS,2
PE CABO LEONES,2.17
PE AURORA,3.0016
PE SARCO,3.4
PE PUNTA SIERRA,2.5819375
PE CABO NEGRO (SM),
PE CABO NEGRO (SM),
PE CABO NEGRO (SM),
PE SAN GABRIEL,3
PE EL MAITEN,3.63
PE LA FLOR,3.6
PE TOLPAN SUR,83.53
PE CABO LEONES II,4.229
PMGD PE UCUQUER,1.8
PMGD PE RAKI,3
PMGD PE HUAJACHE,3
PMGD PE LAS PEÑAS,2.1
PMGD PE LEBU III,1.75
PMGD PE EL ARREBOL,3.333
PMGD PE EL NOGAL,9
PFV SDGX01,0.64
PFV LLANO DE LLAMPOS,101.02
PFV DIEGO DE ALMAGRO,32.01
PFV SAN ANDRES,50.6
PFV LALACKAMA,55
PFV CHAÑARES,36
PFV SALVADOR,68
PFV LALACKAMA II,16.5
PFV JAVIERA,69.018
PFV LUZ DEL NORTE,141.04
PFV PAMPA SOLAR NORTE,69.39
PFV CARRERA PINTO,93
PFV LA SILLA,1.53
PFV LOS LOROS,46
PFV CONEJO SOLAR,104
PFV QUILAPILUN,109.394
PFV PILOTO SOLAR CARDONES,0.4
PFV SANTIAGO SOLAR,92.73
PFV EL ROMERO,196
PFV EL PELICANO,108.103
PFV DOÑA CARMEN SOLAR,34.617
PFV ESPERANZA,2.88
PFV ANDES SOLAR,21.795
PFV FINIS TERRAE,264
PFV PAMPA CAMARONES,6.24
PFV EL AGUILA,2.024
PFV URIBE SOLAR,52.8
PFV MARIA ELENA,68
PFV JAMA,30.24
PFV JAMA,22.41
PFV POZO ALMONTE SOLAR II,7.516
PFV POZO ALMONTE SOLAR III,16.038
PFV LA HUAYCA II,8.35
PFV ANTAY,9
PFV CERRO DOMINADOR,100.22
PFV PUERTO SECO SOLAR,8.999
PFV LA HUAYCA II,8.35
PFV LA HUAYCA II,8.35
PFV HUATACONDO,89.465
PFV ALMEYDA,53.355
PFV GRANJA SOLAR,111.4
PFV ANDES SOLAR II,80.908
PFV SANTA ISABEL,174.7
PFV USYA,53.27
PFV NUEVO QUILLAGUA,96.52
PFV ATACAMA SOLAR II,170.65
PFV SAN PEDRO,104.49
PFV LA HUELLA,3.63
PFV MALGARIDA,193.85
PFV MALGARIDA II,162.64
PMGD PFV SANTA CECILIA,2.96
PMGD PFV LAS TERRAZAS,3
PMGD PFV LOMAS COLORADAS,2
PMGD PFV PAMA,2
PMGD PFV TECHOS DE ALTAMIRA,0.15
PMGD PFV TAMBO REAL,2.94
PMGD PFV HORNITOS,0.323
PMGD PFV LUNA DEL NORTE,2.96
PMGD PFV SOL DEL NORTE,2.96
PMGD PFV LA CHAPEANA,2.928
PMGD PFV  LAS MOLLACAS,2.928
PMGD PFV LAGUNILLA,3
PMGD PFV TILTIL,2.5
PMGD PFV BELLAVISTA,3
PMGD PFV SANTA JULIA,
PMGD PFV CHUCHIÑI,
PMGD PFV ALTOS DEL PAICO,2.1
PMGD PFV EL DIVISADERO,3
PMGD PFV CORDILLERILLA SOLAR,1.33
PMGD PFV ALTURAS DE OVALLE,3
PMGD PFV HORMIGA SOLAR,2.54
PMGD PFV SAN PEDRO,3
PMGD PFV EL BOCO,3.02
PMGD PFV EL SAUCE,2.98
PMGD PFV ÑILHUE,1.1
PMGD PFV LIRIO DEL CAMPO,2.784
PMGD PFV EL LAUREL,7.5
PMGD PFV EL ROBLE,9
PMGD PFV LOS PUQUIOS,3
PMGD PFV PAS1,9
PMGD PFV PICA,0.63
PMGD PFV CALAMA SOLAR,9
PMGD PFV LAS TURCAS,3
PMGD PFV MARCHIGUE II,9
PMGD PFV QUINTA SOLAR,3
PMGD PFV SAN FRANCISCO,3
PMGD PFV VALLE DE LA LUNA II,3
PMGD PFV FRANCISCO,3
PMGD PFV PANQUEHUE II,6
PMGD PFV EL QUELTEHUE,3
PMGD PFV SANTUARIO SOLAR,3
PMGD PFV DON EUGENIO,3
PMGD PFV EL PILPEN,3
PMGD PFV LA MANGA,2.96
PMGD PFV LA FRONTERA,4.8
PMGD PFV CHIMBARONGO,3
PMGD PFV EL CERNICALO II,1.5
PMGD PFV PORTEZUELO,
PMGD PFV LOS GORRIONES,3
PMGD PFV EL CERNICALO,1.5
PMGD PFV HOMERO SOLAR,3
PMGD PFV DIEGO DE ALMAGRO SOLAR,8
PMGD PFV CABILSOL,3
PMGD PFV EL PITIO,3
PMGD PFV PERALILLO,2.96
PMGD PFV AMPARO DEL SOL,3
PMGD PFV MOSTAZAL,9
PMGD PFV CHANCON,3
PMGD PFV LA ACACIA,8.57
PMGD PFV CUZ CUZ,3
PMGD PFV LUDERS,3
PMGD PFV OVEJERIA,9
PMGD PFV LOS PATOS,3
PMGD PFV OCOA,3
PMGD PFV TALHUEN,3
PMGD PFV LOS LIBERTADORES,8
PMGD PFV SANTA LAURA,3
PMGD PFV CATAN SOLAR,3
PMGD PFV VILLA PRAT,2.96
PMGD PFV LAS PALOMAS,3
PMGD PFV EL PICURIO,3
PMGD PFV EL CHINCOL,3
PMGD PFV ALTO SOLAR,2.96
PMGD PFV ALICAHUE,3
PMGD PFV ENCON SOLAR,8.64
PMGD PFV CINTAC,2.77
PMGD PFV OLIVILLO,9
PMGD PFV PIQUERO,3
PMGD PFV VALLE SOLAR ESTE II,9
PMGD PFV VALLE SOLAR OESTE II,9
PMGD PFV EL QUEMADO,3
PMGD PFV RODEO,3
PMGD PFV EL QUEULE,7
PMGD PFV LUNA,2.96
PMGD PFV MALAQUITA SOLAR II,9
PMGD PFV PUNTA BAJA SOLAR,2
PMGD PFV CACHIYUYO SOLAR II,9
PMGD PFV LA BLANQUINA,9
PMGD PFV CALLE LARGA,3
PMGD PFV MARIN,3
PMGD PFV VITUCO 2B,2.95
PMGD PFV ARIZTIA,3
PMGD PFV LO SIERRA,2.97
PMGD PFV CRUCERO,2.95
PMGD PFV PIRQUE,2.8
PMGD PFV POBLACION,2.95
PMGD PFV LA LAJUELA,6.9
PMGD PFV GR SANTA ROSA,9
PMGD PFV PEDREROS SOLAR,3
PMGD PFV SANTA CLARA,2.75
PMGD PFV LIPANGUE,3
PMGD PFV ALTOS DE TILTIL,3
PMGD PFV LOS PERALES,3
PMGD PFV SANTA ADRIANA,3
PMGD PFV TRICAHUE II,9
PMGD PFV CASUTO,2.8
PMGD PFV ROVIAN,7
PMGD PFV NORTE CHICO,1.95
PMGD PFV RANGUIL,2.95
PMGD PFV CHALINGA SOLAR,3
PMGD PFV CRUZ SOLAR,3
PMGD PFV ILLAPEL 5X,3
PMGD PFV LAS CODORNICES,3
PMGD PFV EL CONDOR,1.336
PMGD PFV TALCA,9
PMGD PFV MONTT SOLAR,3
PMGD PFV RLA SOLAR,2.7
PMGD PFV CANESA SOLAR,3
PMGD PFV LAS PERDICES,3
PMGD PFV MARCHIHUE VII,2.95
PMGD PFV DOÑIHUE,7.5
PMGD PFV JAURURO SOLAR,2.73
PMGD PFV TUCUQUERE,3
PMGD PFV JOSE SOLER MALLAFRE,1.33
PMGD PFV LAS LECHUZAS,3
PMGD PFV PLACILLA SOLAR,9
PMGD PFV VILLA SECA,3
PMGD PFV LUCE SOLAR,2.7
PMGD PFV LA LIGUA,3
PMGD PFV SAN ISIDRO,2.73
PMGD PFV LAS MERCEDES,3
PMGD PFV BELLAVISTA 1,9
PMGD PFV CITRINO,2.8
PMGD PFV ECLIPSE SOLAR,9
PMGD PFV PILPILEN,2.75
PMGD LORETO SOLAR,3
PMGD PFV EL ESTERO,no aplica
PMGD PFV RINCONADA,8
PMGD PFV LO MIRANDA,6
PMGD PFV KONDA,3
PMGD PFV LOS PALTOS,2.7
PMGD PFV LAS ROJAS,3
PMGD PFV GUADALAO,3
PMGD PFV PARAGUAY,9
PMGD PFV RAUQUEN,9.03
PMGD PFV LA ESTANCIA,3.009
PMGD PFV LAS CHACRAS,3
PMGD PFV CHACABUCO,9
PMGD PFV VILLA CRUZ,2.95
PMGD PFV PULLALLI SOLAR,3
PMGD PFV MARIA PINTO,3
PMGD PFV TRICA-DOS,2.8
PMGD PFV LLANOS DE POTROSO,9.005
PMGD PFV CATEMU,2
PMGD PFV EL CHUCAO,3.01
PMGD PFV JAHUEL,6
PMGD PFV DARLIN SOLAR,9
PMGD PFV UTFSM VALPARAISO VALDES,0.215
PMGD PFV UTFSM VIÑA DEL MAR,0.499
PMGD PFV COVADONGA,9
PMGD PFV GIRASOLES,2.63
PMGD PFV DON MARIANO,3
PMGD PFV PARQUE SOLAR SANTA FE,9
PMGD PFV ÑIQUEN,3
PMGD PFV ANTONIA SOLAR,3
PMGD PFV VILLA ALEGRE,9
PMGD PFV QUELTEHUE SOLAR,3
PMGD PFV PITOTOY,3
PMGD PFV LA CHIMBA BIS,2.78
PMGD PFV GR LEMU,5
PMGD PFV EL RESPLANDOR,2.63
PMGD PFV SANTA AMELIA,3
PMGD PFV EL LITRE SOLAR,9
PMGD PFV SOL DE SEPTIEMBRE,9
PMGD PFV TREBAL SOLAR,3
PMGD PFV GRANADA,9.013
PMGD PFV  ARGOMEDO,8
PMGD PFV COCHARCAS,2.8
PMGD PFV VICTORIA,9
PMGD  PFV PLAYERO,3.045
PMGD PFV SAN RAMIRO,9.004
PMGD PFV FILOMENA SOLAR,3
PMGD PFV PUENTE SOLAR,3.03
PMGD PFV PEPA SOLAR,9.56
PMGD PFV CIPRES,9.045
PMGD PFV EL GUANACO SOLAR,3.007
PMGD PFV LAS TORCAZAS,3.01
PMGD PFV LOS TILOS,3.6
PMGD PFV LAS TORTOLAS,3.01
PMGD PFV EL BOCO,4.7
PMGD PFV PARQUE SOLAR BICENTENARIO,2.994
PMGD PFV CANELILLO,2.784
PMGD PFV  COCINILLAS,2.784
PMGD PFV CAIMI,0.2
PMGD PFV QUILLAY,2.999
PMGD PFV  SANTA CAROLINA,3.037
PMGD PFV CANDELARIA SOLAR,2.755
PMGD PFV DON JORGE (EX PERALILLO),3.01
PMGD PFV PARQUE SOLAR SAN JAVIER,6.01
PMGD PFV EL ROMERAL,8.098
PMGD PFV PITRA,3.005
PMGD PFV PLAYERITO,3.005
PMGD PFV GR RAULI,9.14
PMGD PFV SANTA INES SOLAR,2.9974
PMGD PFV PARQUE SOLAR MECO CHILLAN,6.01
PMGD PFV QUINANTU SOLAR,9.0659
PMGD PFV SATURNO NORTE,4.5306
PMGD PFV MERCURIO SUR,3.0204
PMGD PFV MALINKE,3.005
PMGD PFV DON ANDRONICO,2.75
PMGD PFV EL SALITRAL,3
PMGD PFV PAINE,9.1
PMGD PFV PARQUE SOLAR OVALLE NORTE,9.01
PMGD PFV TRINIDAD,2.995
PMGD PFV LUMBRERAS,3.01
PMGD PFV LINGUE,3.007594
PMGD PFV EL PIUQUEN,3.01
PMGD PFV LAS MAJADAS,9.045
PMGD PFV VENTURADA,9.002
PMGD PFV VILLA SOLAR,2.75
PMGD PFV PARQUE SOLAR MEMBRILLO,3
PMGD PFV BERRUECO,9.002
PMGD PFV TAMARUGO,2.9953
PMGD PFV CASABERMEJA,6.8916
PMGD PFV KAUFMANN,0.84
PMGD PFV CURACAVI,2.703342
PMGD PFV SANTA RITA,2.70357
PMGD PFV SDSI,2.60805
PMGD PFV NAHUEN,9.158
PMGD PFV PRETTY FIELD,2.8
PMGD PFV GR PITAO,9.109
PMGD PFV LLAY LLAY,
PMGD PFV LINARES SOLAR,9.002
PMGD PFV LOS LAGOS,2.204
PMGD PFV RINCONADA NORTE (SLK 808),3
PMGD PFV LAS CABRAS,2.995
PMGD PFV VICENTE SOLAR,2.75
PMGD PFV ORION SOLAR,2.992
PMGD PFV HUAPE,2.979
PMGD PFV SANTA ESTER,2.99504
PMGD PFV MOYA,9.00372
